Country Name,CO2Emissions2010,CO2Emissions2014,production2010,production2014,countryColor,CO2Electperc2010,CO2Electperc2014
Solomon Islands,0.354292134,0.33104744,,,,,
Somalia,0.050846475,0.046986287,,,,,
South Africa,9.173054703,8.882615991,94.33738038,93.17756372,C5,70.38402911,67.48062281
South Sudan,,0.145569875,,99.59016393,C1,,30.92105263
Spain,5.816416366,5.033824487,46.17055511,38.80319623,C6,33.65142377,37.40678478
Sri Lanka,0.654610165,0.862657426,46.88454773,60.79768879,C3,27.5,40.8004779
St. Kitts and Nevis,4.489196303,4.549806995,,,,,
St. Lucia,2.317086481,2.282928389,,,,,
St. Martin (French part),,,,,,,
St. Vincent and the Grenadines,2.032423445,2.021109488,,,,,
Sudan,0.461439948,0.417028724,17.29563942,21.65084388,C2,11.02204409,16.49175412
Suriname,4.539344126,4.056195981,29.81438515,37.66055046,C5,32.35294118,41.70854271
Sweden,5.547348052,4.484611458,4.430823117,1.039373771,C7,28.01911381,24.2383752
Switzerland,5.002174211,4.357240126,1.659298734,0.80311546,C6,8.6774942,9.300476948
Syrian Arab Republic,2.883815863,1.640539063,94.41535777,88.89258081,C3,52.27882038,44.46862532
Tajikistan,0.337110559,0.559858657,0.212960146,0.971345313,C4,1.739130435,4.291845494
Tanzania,0.160252602,0.231426985,48.3124763,57.7102428,C2,23.98042414,23.33654773
Thailand,3.852981518,4.105519506,94.39011547,91.48546525,C5,43.89239515,46.59986859
Timor-Leste,0.214616428,0.437168056,,,,,
Togo,0.410573777,0.362693064,45.81005587,13.79310345,C2,3.365384615,1.162790698
Tonga,1.1284596,1.125202914,,,,,
Trinidad and Tobago,36.08889453,33.96103108,100,100,C6,64.86123545,62.12839293
Tunisia,2.600803611,2.605932406,95.93818715,95.68817372,C4,36.23872907,38.78448621
Turkey,4.096888453,4.478823888,73.56302792,78.97389696,C5,42.59929158,46.69011104
Turkmenistan,11.26147873,12.51776695,100,100,C5,37.9086116,35.82089552
Turks and Caicos Islands,5.613900796,5.59863157,,,,,
Tuvalu,0.69648623,1.002643092,,,,,
Uganda,0.120883274,0.129345873,,,,,
Ukraine,6.641343749,5.046562683,45.69502404,45.83871411,C5,48.77004544,49.97463431
United Arab Emirates,18.55247271,24.54304265,100,99.74169298,C7,40.05271829,41.52083452
United Kingdom,7.84936515,6.497340931,76.37854776,60.96876463,C6,43.80570877,41.93065908
United States,17.4431109,16.41657591,70.27776508,67.46195321,C7,48.79718723,45.99040611
Uruguay,1.901575191,1.984240835,12.3783538,9.273914714,C5,20.13422819,15.47049442
Uzbekistan,3.647048882,3.420722746,79.0212766,78.64620939,C4,40.59344735,42.4514811
Vanuatu,0.512300443,0.583633966,,,,,
"Venezuela, RB",6.693449564,6.161191593,32.50999868,31.73729577,C5,35.14317373,35.54422866
Vietnam,1.622618922,1.824531973,70.85971992,57.01859349,C4,32.90506781,34.89637848
Virgin Islands (U.S.),,,,,,,
West Bank and Gaza,0.537532609,0.680083232,,,,,
"Yemen, Rep.",1.01197481,0.955250966,100,100,C2,36.16450603,31.49015933
Zambia,0.197823105,0.292412222,0.124425727,2.836977581,C3,4.268292683,9.717868339
Zimbabwe,0.614549238,0.891738608,31.99076746,44.39457411,C3,52.97941495,59.44299391
